id	loc	bytes	jp	en
519	11:$6311	27	<cF4>ケヤキ<mode1>こ「・・・あの<mode1>と これ あげる！」<mode1>モ<mode0>	
520	11:$632D	18	ロクロウ「おっ、よそモンだ・・・」	
521	11:$6340	24	タグラ「おにいちゃん どっから<br> きたの？」	
522	11:$6359	55	ぱしりのゴン「コッパ？ しらねえな。<end><br> うーーーっ このむらで おちあう<br> ことになってたのかい？」	
523	11:$6391	13	ポチ「ワン！ ワワン！」	
524	11:$639F	39	フミのはは「シキタリとはいえ・・・<end><br> なんだって うちのむすめが・・・」	
525	11:$63C7	37	むらおさ「かわいそうだが フミちゃん<br> のことは あきらめるんじゃ」	
526	11:$63ED	39	だいくのキンジ「オロチには だれも<br> かなわねえ。どうしようもないよ」	
527	11:$6415	11	ナギ「ちくしょう！」	
528	11:$6421	15	むらおさ「あっ！ ナギ！！」	
529	11:$6431	51	だいくのキンジ「あいつも つらいよな<end><br> フミちゃんとは いちばん なかが<br> よかったからな」	
530	11:$6465	13	フミのはは「ううう・・・」	
531	11:$6473	38	だいくのキンジ「くそっ オロチさえ<br> いなけりゃ こんなことには・・・」	
532	11:$649A	83	むらおさ「このむらは オロチという<br> かいぶつに しはいされておる。<end><brk> ねんにいちど おさないこどもを<br> いけにえに ささげなければ ならぬ<br> のじゃ」	
533	11:$64EE	11	ニワトリ「コケーッ！」	
534	11:$64FA	76	おかみ「あらっ おきゃくさん？<end><brk> えっ ちがうの。いやね よそからの<br> きゃくなんて めったに こないから<br> はっきりいって ヒマでヒマで・・」	
535	11:$6547	51	うらないオババ「オロチは<br>『クヨウとうげ』に すんでおる。<br> てしたの かいぶつとともにな」	
536	11:$657B	176	だいくのマサ「このさきは<br> 『クヨウとうげ』っていってな<br> とてもキケンなところなんだ。<end><brk> どうしてもというのなら いくまえに<br> じんじゃによりな。かんぬしさまが<br> いろいろ おしえてくれるぜ。<end><brk> あと クヨウとうげは、みちが<br> 3つに わかれているんだ。<end><brk> そこのカンバンのちずを みれば<br> みちを えらべるぜ」	
537	11:$662C	122	だいくのマサ「そとにでるまえに<br> もうすこし むらびとたちに はなし<br> かけたほうが いいぜ。<end><brk> あと クヨウとうげは、みちが<br> 3つに わかれているんだ。<end><brk> そこのカンバンのちずを みれば<br> みちを えらべるぜ」	
538	11:$66A7	18	ロクロウ「た、たいへんだーっ！！」	
539	11:$66BA	54	ロクロウ「ナギがっ！ ナギが<br> いねえんだっ！<end> どこさがしても<br> みあたらないんだよ！！」	
540	11:$66F1	33	だいくのマサ「あれ？ さっきここで<br> みかけたけどな・・・」	
541	11:$6713	49	ロクロウ「まさか・・・<end>いや<br> まちがいない！<end> あいつ<br> フミちゃんをたすけにいったんだ！」	
542	11:$6745	98	むらおさ「ムチャじゃ！ かいぶつども<br> のエジキになるのがオチだわい！<end><brk> まだそんなにとおくまで いっとりゃ<br> せん！ いますぐ おいかければ<br> まにあうとおもうが・・・」	
543	11:$67A8	59	だいくのマサ「や、やだよ オレは・・<end><br> ナギが むらおさの マゴとはいえ<br> あんなとこ いきたかねえよ！」	
544	11:$67E4	65	ロクロウ「あそこで かいぶつに<br> やられでもしたら さいご、<br> にどと かえってこれねえ。<end><brk> あきらめるしか ねえよ」	
545	11:$6826	47	おかみ「まったく このむらには<br> おとこってやつが いないのかねえ！<br> だらしのないっ！」	
546	11:$6856	30	おかみ「あ、あんた！ ナギを<br> たすけに いくのかい？！」	
547	11:$6875	37	だいくのマサ「わるいことはいわねえ。<br> やめておいたほうが いいぜ」	
548	11:$689B	115	ロクロウ「おい、いきてえってヤツを<br> ムリにとめることは ないだろ？<br> いかして やれよ。<end><brk> まっ、よそもンはいいよな。<br> たとえ かいぶつにやられても<br> ここに もどされるだけだし・・・<end><brk> オレたちと ちが・・・	
549	11:$690F	17	むらおさ「こらっ！ ロクロウ！！」	
550	11:$6921	9	ロクロウ「・・・」	
551	11:$692B	16	おかみ「フウライニンさん・・・」	
552	11:$693C	29	むらおさ「ロクロウ。<br> ・・・しゃべりすぎじゃぞ」	
553	11:$695A	8	ノラネコ「ミー」	
554	11:$6963	72	ケヤキ「あ・・・<end>たびのかた ですか？<end><br> やどでしたら、ここを おりた<br> ところに ありますわ。<end><brk> 『ととや』という おみせです」	
555	11:$69AC	13	ケヤキ「あ、あの！・・・」	
556	11:$69BA	29	ケヤキ「・・・い、いえ いいんです。<br> ごめんなさい」	
557	11:$69D8	105	おかみ「おはよう。<end>ずいぶん<br> ぐっすり ねむってたわよ。<br> よっぽど つかれてたんだね。<end><brk> ところで あんたに きゃくだよ。<end><br> おきたら よんでくれって。<br> ほら あそこにいる おとこ」	
558	11:$6A42	62	ヨシゾウタ「あんた クヨウとうげから<br> かえってきたんだって？<end> すげえじゃ<br> ねえか。まあ いっぱい やりな」	
559	11:$6A81	21	<name>は みしらぬオトコと はなし<br>こんだ。	
560	11:$6A97	108	ヨシゾウタ「おれのなは ヨシゾウタ。<br> クスリうりながら ぜんこくを<br> たびしている。<end><brk> このむらにも ときどき よるんだ。<br> なあ あんた。このあとは やっぱり<br> フミを たすけにいくんだろ？」	
561	11:$6B04	54	ヨシゾウタ「オロチは てごわいって<br> きくけど あんたなら なんとか<br> しそうだ。がんばれよ！」	
562	11:$6B3B	45	ヨシゾウタ「おれ あんたのこと<br> きにいっちまったよ。<br> こんど また のもうぜ！」	
563	11:$6B69	13	フミのはは「ううう・・・」	
564	11:$6B77	58	ナギ「おばさん だいじょうぶだよ。<br> このにいちゃんが きっと たすけて<br> くれるって！<end> なっ！」<mode0>	
565	11:$6BB2	44	むらおさ「ありがとうございます。<br> まさか ナギに いきて<br> あえるとは・・・」	
566	11:$6BDF	36	むらおさ「えっ ヨシゾウタ？<end><br> や、やつが むらに いるのか？！」	
567	11:$6C04	16	むらおさ「・・・・・・・・・・」	
568	11:$6C15	168	ぱしりのゴン「な、なんだ コッパって<br> イタチのことだったのかい？！<br> それなら みただよ。<end><brk> あんたがくる なんにちか まえだ。<br> いかにも くさそうなイタチが めの<br> まえを とおりすぎたんだ。<end><brk> あれっきりだが イタチがむかってた<br> ほうこう・・・ありゃ クヨウとうげ<br> のほうだな。うーーっ」	
569	11:$6CBE	37	ロクロウ「ケッ！ ナギひとりたすけた<br> ぐらいで いいきになるなよ」	
570	11:$6CE4	32	タグラ「ねえ とうちゃん。<br> ナギって どこいってたの？」	
571	11:$6D05	37	だいくのマサ「あんた・・・なかなか<br> やるな。ちょっと みなおしたぜ」	
572	11:$6D2B	201	うらないオババ「ツキカゲむらから<br> 15ちけいぐらい はなれたばしょが<br> 『りゅうのあぎと』とよばれておる。<end><brk> オロチは、さらにさきの 6ちけい、<end><br> つまりツキカゲむらより 21ちけい<br> ぐらいさきに、いるといわれておる。<end><brk> ・・・なんで わしが こんなことを<br> おしえるのかと いうことじゃが、<end><brk> おぬしが なんとかしてくれそうな、<br> きがしてきてのう・・・」	
573	11:$6DF5	10	ケヤキ「<name>さーん！」	
574	11:$6E00	32	ケヤキ「こんどは いよいよ<br> フミちゃんね。<end> はい これ！」	
575	11:$6E21	12	<name>は<br><cE3:07>を もらった。	
576	11:$6E2E	19	ケヤキ「がんばってね！・・・あっ」	
577	11:$6E42	21	だいくのキンジ「おい<end> これもってけ」	
578	11:$6E58	11	<name>は <cE3:04>を<br>もらった	
579	11:$6E64	47	だいくのキンジ「オレのバンメシ<br> だかんな。あんちゃんたちには<br> ナイショだかんな」	
580	11:$6E94	36	ケヤキ「キンジさんも・・おうえんして<br> くれるんだ・・・<end>うれしい」	
581	11:$6EB9	138	むらおさ「・・ナ、ナギは？<end><br> ・・・やはり ムリかのぉ。<end><brk> こどものあしだと、いまごろは<br> ここから 10ちけいぐらい さきに<br> いっているような きがするが・・・<end><brk> あそこらへんの かいぶつは<br> おそろしいから・・・<br> おお、しんぱいだわい・・・」	
582	11:$6F44	70	ぱしりのゴン「うーーっ<end><br> やっぱり みてねえだよ。<br> コッパなんてヤツ。<end><brk> べつのむらに いっちまったんじゃ<br> ねえか？」	
583	11:$6F8B	58	ロクロウ「ケッ！ もどされたンか！<br> やっぱり ダメじゃねえか！<end><br> あんなとこ いくだけムダだぜ」	
584	11:$6FC6	30	タグラ「ねえ フミちゃんって どこ<br> いっちゃったの？」	
585	11:$6FE5	60	だいくのマサ「ナギをたすけることが<br> できなくても だれも あんたを<br> とがめやしねえ。よそもンだからな」	
586	11:$7022	26	だいくのキンジ「ばあちゃん<br> ハラへったよォ」	
587	11:$703D	52	うらないオババ「あんた さっきたべた<br> ばかりじゃないか！ バンメシまで<br> がまんしな」	
588	11:$7072	41	うらないオババ「このむらは<br> のろわれた うんめいを<br> せおっているんじゃ」	
589	11:$709C	180	ロクロウ「あんた・・・なんだって<br> こんなこと くりかえしてンだ？<br> じぶんの トクになるワケじゃなし。<end><brk> ・・・まあ、どうしても いくって<br> いうのなら とめねえけど、<br> ひとつだけ おしえといて やらあ。<end><brk> クヨウとうげは みちが<br> 3つに わかれているんだ。<end><brk> そこのカンバンのちずを みれば<br> みちを えらべるぜ」	
590	11:$7151	44	だいくのキンジ「ケヤキちゃんって<br> かわいいよな・・・<br> おれは・・・おれは・・・」	
591	11:$717E	53	だいくのマサ「おまえ ケヤキちゃんが<br> しんせつにしてくれるからって<br> いいきになるんじゃないぜ」	
592	11:$71B4	41	うらないオババ「どだい オロチに<br> さからうなど ムリな はなしじゃ」	
593	11:$71DE	55	だいくのキンジ「あんちゃん<br> ほっさ だいじょうぶかい？・・・<br> まだ くるしそうにみえるけど」	
594	11:$7216	47	だいくのマサ「・・・・・・<end><br> だ、だいじょうぶだ。ようやく<br> おさまってきたよ」	
595	11:$7246	16	フミのはは「あの・・これを」<end><mode0>	
596	11:$7257	12	<name>は <cE3:09>をもらった<end><mode0>	
597	11:$7264	27	フミのはは「フミを・・・<br> フミを おねがいします」	
598	11:$7280	77	むらおさ「あなたのいう イタチなら<br> わしも みたことがありますぞ。<end><brk> じんじゃのかいだんを かけぬけて<br> そのまま クヨウとうげへ・・・」	
599	11:$72CE	62	ぱしりのゴン「うーーっ このあいだの<br> くさそうなイタチ<end> あれは あんたの<br> ともだち だったのか。<end>うーーっ」	
600	11:$730D	30	ロクロウ「フン！ おれは・・・<br> おれは みとめねえからな」	
601	11:$732C	51	だいくのマサ「おお あんたかい！<end><br> ・・・ゴメンよ。いま だいじな<br> はなしを してんだ」	
602	11:$7360	30	だいくのキンジ「じつはよ<br> あんたを おどろ・・・」	
603	11:$737F	14	だいくのマサ「コラッ！！」	
604	11:$738E	33	だいくのキンジ「やべえ。<br> ナイショだった。へへへ・・・」	
605	11:$73B0	16	だいくのマサ「へへへへ・・・」	
606	11:$73C1	35	だいくのマサ「ほら！ キンジ！<br> チンタラしてんじゃねえぞ！」	
607	11:$73E5	55	だいくのキンジ「いそいで<br> つくらなきゃ！<end> けど、ハラへって<br> ちからが でねえよ。あんちゃん」	
608	11:$741D	117	うらないオババ「うんめい<end>、サダメ、<end><br> シキタリ・・・<end>それらが いま<br> くつがえされようとしておる。<end><brk> たしかにオロチは てごわい・・<end>が、<br> おぬしの かがやきは それいじょう<br> に かんじられるんじゃ」	
609	11:$7493	161	ナギ「にいちゃん！ やっぱり おれも<br> いきたいんだ！ ついていくよ！<br> やだっていっても ダメだぜ！<end><brk> ・・・と おもったけど きゅうに<br> モレそうに なっちゃったから<br> さきに いっててーーっ！<end><brk> ・・・と おもったけど これが<br> でそうで でなくなっちゃった。<br> うーん どうしよ？」	
610	11:$7535	41	おかみ「ケヤキちゃん まだ もどって<br> こないのよ。どうしちゃったんだろ」	
611	11:$755F	21	フミのはは「<name>さん・・・<br> あの これを」	
612	11:$7575	11	<name>は <cE3:03>をもらった。	
613	11:$7581	49	フミのはは「このぐらいのことしか<br> できなくて すみません。けど<br> どうか フミを・・・」	
614	11:$75B3	45	キンジ「ケヤキちゃんが いなく<br> なっちゃったんだって？<end><br> うおおおおーーーっ！」	
615	11:$75E1	58	ぱしりのゴン「ケヤキちゃん どこ<br> いっちゃったんだろー？<end> うーーっ<br> おれも ひそかにねらっていたのに」	
616	11:$761C	28	ロクロウ「なあ <name>さん<br> これ やくにたつかなあ？」<end><mode0>	
617	11:$7639	14	<name>は <cE3:01>を<br>もらった。<end><mode0>	
618	11:$7648	57	ロクロウ「うらやまに おちてたんで<br> ひろったんだ。おれがもってても<br> つかいみちないんで やるわ それ」	
619	11:$7682	33	タグラ「がんばってね！<br> きっと フミちゃんをたすけてね！」	
620	11:$76A4	257	むらおさ「なんと！ まきものが<br> ないとな！<end> きのうまでは<br> たしかに あったんじゃが・・・<end><brk> そういえば ゆうべ だれかから<br> 『りゅうの あぎと』へ むかう<br> ひとかげを みたときいたぞ。<end><brk> なんでも 『やさしい』みちは<br> とおらず『ふつう』か『むずかしい』<br> のほうへ はいっていったそうな。<end><brk> 『ふつう』か『むずかしい』を<br> とおって あんたらも いってみては<br> どうじゃ？ なんとかなるような・・<end><brk> すまん・・・すごくムセキニンな<br> いいかたじゃった・・・」	
621	11:$77A6	92	ナギ「このあいだ かわべで へんな<br> たてが おちてたんだけどさ、<end><brk> おれ もれそうだったんで とらずに<br> かえってきちゃったんだ。<br> こんど とってくるよ」	
622	11:$7803	91	うらないオババ「むらびとたちのなかに<br> はじめて キボウというものが<br> うまれてきておる。<end><brk> おぬしのおかげで このむらにも<br> ヒカリが あたりつつあるのじゃ」	
623	11:$785F	150	だいくのマサ「そうこに アイテムを<br> おいとけば ぼうけんの とちゅうで<br> ちからつきても なくならないぜ。<end><brk> ただし ツボのなかみは すべて<br> きえるから きをつけな。<end><brk> あと ぼうけんには アイテムを<br> 5こしかもっていけないぜ。ツボは<br> なかみが きえちゃうからな」	
624	11:$78F6	109	ぱしりのゴン「もしかしたら<br> ケヤキちゃんって・・・<end><brk> <name>さんに かいぶつになった<br> じぶんのスガタを みられたく<br> なかっただかなあ・・・<end><brk> うーーっ それで かくれちゃった<br> んだなあ・・・」	
625	11:$7964	51	だいくのキンジ「ケヤキちゃんは<br> たぶん <name>さんのことが・・・<end><br> くっ うらやましい・・・」	
626	11:$7998	51	おかみ「ケヤキちゃん きっともどって<br> くるわよ。なにごともなかったように<br> カラリとわらってさ」	
627	11:$79CC	29	フミのはは「おねがいします。<br> どうか フミを・・・」	
628	11:$79EA	20	ロクロウ「オロチなんかに<br> まけるなよ」	
629	11:$79FF	36	ナギ「あっ きのういってた たてを<br> ひろってきたんだ。これだよ」	
630	11:$7A24	12	<name>は <cE3:00>を<br>もらった。	
631	11:$7A31	32	ナギ「やくにたつか わからないけど<br> とにかく あげるよ」	
632	11:$7A52	143	だいくのマサ「あっ <name>さん。<br> きのう キンジとふたりで<br> そうこを ぞうちくしたんだ。<end><brk> これで アイテムが もっと<br> おけるように なったぜ。<end><brk> あと ぼうけんには アイテムを5こ<br> しかもっていけないし ツボはなかみ<br> がきえちゃうから、ちゅういしてな」	
633	11:$7AE2	51	おかみ「ケヤキちゃん きっともどって<br> くるわよ。なにごともなかったように<br> カラリとわらってさ」	
634	11:$7B16	37	ぱしりのゴン「ケヤキちゃん・・・<br> かわいいコだったなあ うーーっ」	
635	11:$7B3C	27	ナギ「ああ おれが もっと<br> つよければ・・・」	
636	11:$7B58	38	だいくのキンジ「ばあちゃん おれ<br> シツレンしちまった。<end>メシ・・・」	
637	11:$7B7F	53	うらないオババ「こーゆーとき ふつう<br> なにも のどに とおらないもンなん<br> じゃ ないのかねえ」	
638	11:$7BB5	43	だいくのキンジ「・・・ケヤキちゃぁん<br> うえーんっ<end> がつがつがつがつ！」	
639	11:$7BE1	84	だいくのマサ「おい キンジ！<br> いつまでも ヤケぐいしてねえで<br> しごとを てつだえよ！<end><brk> おれたちには まだ やることが<br> のこってんだから！」	
640	11:$7C36	211	だいくのマサ「よう <name>さん！<br> これが おれにできる さいごの<br> しごとだ。<end><brk> そうこを ひろげられるだけ<br> ひろげたからよ。<br> まっ これがげんかいだな。<end><brk> ぼうけんに もっていける<br> アイテムすうは あいかわらず<br> 5こまでだし、<end><brk> ツボも もっていこうとすると<br> なかみが きえちゃうけど・・・<end><brk> あとは <name>さん！<br> あんたの うでしだいだ。<br> たのんだぜ！」	
641	11:$7D0A	69	だいくのキンジ「がつがつがつがつ！<end><br> がつがつがつががつ！！<end><br> がつがつがつががつがつがつ！！！」	
642	11:$7D50	40	うらないオババ「けっきょく あんたは<br> たべてばかりナンだねえ・・・」	
643	11:$7D79	82	ロクロウ「じつは <name>さんに<br> わたしたいものがあるんだけど・・・<end><brk> <name>さん もちものを 5コ<br> いじょうもっていて わたせないから<br> よしとくわ・・・」	
644	11:$7DCC	89	ナギ「あっ きのういってた たてを<br> ひろってきたんだ。これだよ。<end><brk> ・・・と、おもったけど にいちゃん<br> 5コいじょう もちものをもっている<br> から わたせないや」	
645	13:$4571	13	<cE0:2B>とっぷうだ！！<cE7:A0>	
646	13:$457F	11	……かぜはおさまった	
647	13:$458B	14	……さっきよりつよいぞ<cE7:3C>	
648	13:$459A	19	<cE0:20><cEC:6E>からだをささえきれない！<cE7:B4>	
649	13:$45AE	13	<cE0:2C>とっぷうだ！！<cE7:3C>	
650	13:$45BC	14	<cE0:88>おなかが へってきた…	
651	13:$45CB	19	<cE0:88>ハラペコで めがまわってきた	
652	13:$45DF	19	<cE0:88>だめだ もう たおれそうだ！	
653	13:$45F3	16	<cE0:88>はやく…なにかたべないと…	
654	13:$4604	15	<cE0:88>うえじに してしまう！！	
655	13:$4614	5	<cE3>をおいて	
656	13:$461A	9	<cE1><cE0:4C><cE3>をひろった	
657	13:$4624	8	<cE0:4C><cE3>をひろった	
658	13:$462D	7	<cE1><cE3>をひろった	
659	13:$4635	9	ここには おけない	
660	13:$463F	10	なにも おちていない	
661	13:$464A	19	もちものが いっぱいで もてない	
662	13:$465E	7	<cE0:46><cE3>をもった	
663	13:$4666	7	<cE0:48><cE3>をつけた	
664	13:$466E	9	<cE0:47><cE3>をはずした	
665	13:$4678	9	<cE0:49><cE3>をはずした	
666	13:$4682	10	<cE0:4E>のろわれていた！	
667	13:$468D	18	<cE0:4E>のろわれていて はずれなかった	
668	13:$46A0	5	<cE3>にのった	
669	13:$46A6	5	<cE3>をおいた	
670	13:$46AC	2	<cE3>を	
671	13:$46AF	10	くすりにしてのんだ	
672	13:$46BA	6	<cE3>をたべた	
673	13:$46C1	6	<cE3>をよんだ	
674	13:$46C8	16	みせの アイテムは いれられない	
675	13:$46D9	5	<cE3>をふった	
676	13:$46DF	5	<cE3>をおした	
677	13:$46E5	5	<cE3>のなかに	
678	13:$46EB	5	<cE3>をいれた	
679	13:$46F1	4	はいった	
680	13:$46F6	6	<cE3>のなかから	
681	13:$46FD	8	<cE3>をだした<cE7:05>	
682	13:$4706	18	ツボのなかに ツボはいれられない	
683	13:$4719	16	ツボのなかには もうはいらない	
684	13:$472A	6	<cE3>がわれた	
685	13:$4731	2	<cE3>は	
686	13:$4734	6	<var>にあたった	
687	13:$473B	8	じめんにおちた	
688	13:$4744	17	おちて つかいものにならなくなった	
689	13:$4756	8	ここは ほれない	
690	13:$475F	7	<cE3>は こわれた	
691	13:$4767	15	しかし うでわのまりょくで	
692	13:$4777	7	サビなかった	
693	13:$477F	8	のろわれなかった	
694	13:$4788	9	こんらんしなかった	
695	13:$4792	14	おなかがいっぱいになった	
696	13:$47A1	14	すこし おなかが ふくれた	
697	13:$47B0	10	おなかはふくれたが	
698	13:$47BB	17	<cE0:85>HPが<cE4>ポイントさがった	
699	13:$47CD	13	うごきが おそくなった	
700	13:$47DB	6	<cE3>をおとした	
701	13:$47E2	12	つえ のこうかで <var>に	
702	13:$47EF	16	<cE0:86>まっすぐあるけなくなった！	
703	13:$4800	19	<cE0:87>もうれつに ねむくなってきた・・・	
704	13:$4814	16	ちからが<cE4>ポイントさがった	
705	13:$4825	21	ひろうだけで しきべつかのうになった	
706	13:$483B	16	ちからを さげられなくなった！	
707	13:$484C	21	たまごのこうかで ちからはさがらない	
708	13:$4862	14	ふみんじょうたいになった！	
709	13:$4871	20	しかしたまごのこうかでねむらなかった	
710	13:$4886	12	はらがへらなくなった！	
711	13:$4893	15	モンスターをおこさなくなった！	
712	13:$48A3	17	<cE0:6A>HPが<cE4>ポイントあがった	
713	13:$48B5	21	<cE0:6B>みえないものが みえるようになった！	
714	13:$48CB	15	<cE0:6D>むてきじょうたいになった	
715	13:$48DB	11	むてきではなくなった	
716	13:$48E7	15	<cE0:6E>しかし アイテムをつかって	
717	13:$48F7	7	ふっかつした！	
718	13:$48FF	22	<cE0:6F>さいだいHPが<cE4>ポイントあがった	
719	13:$4916	19	しきべつしたものをわすれてしまった！	
720	13:$492A	16	まんぷくどのさいだいちが	
721	13:$493B	8	<cE0:70><cE6>％になった	
722	13:$4944	8	<cE0:71><cE6>％になった	
723	13:$494D	18	<cE0:73>ちからが<cE4>ポイントあがった	
724	13:$4960	14	<cE0:73>ちからのさいだいちが	
725	13:$496F	11	<cE4>ポイントあがった	
726	13:$497B	13	<cE0:72>ちからがかいふくした	
727	13:$4989	10	<cE0:86><var>はこんらんした	
728	13:$4994	13	しかし なにもおきなかった	
729	13:$49A2	2	<cE3>の	
730	13:$49A5	9	のろいがとけた！	
731	13:$49AF	6	なんと！<cE3>は	
732	13:$49B6	5	<cE3>だった	
733	13:$49BC	7	これは<cE3>だ！	
734	13:$49C4	5	ラッキー！	
735	13:$49CA	20	すべてのアイテムがしきべつされた！	
736	13:$49DF	20	ダンジョンがみわたせるようになった	
737	13:$49F4	12	<cE0:56>おおきさが<cE4>ふえた	
738	13:$4A01	15	<cE0:58>くちがつかえなくなった！	
739	13:$4A11	12	くちがつかえない！<cE7:0A>	
740	13:$4A1E	22	<cE0:68>まわりのモンスターのうごきがとまった	
741	13:$4A35	16	アイテムをひろえるようになった！	
742	13:$4A46	17	HPがかいふくするようになった！	
743	13:$4A58	17	まっすぐ あるけるようになった！	
744	13:$4A6A	21	<cE0:5A>モンスターのはやさが2ばいになった	
745	13:$4A80	15	かべがくずれてしまった！	
746	13:$4A90	11	<var>はでてこなくなった	
747	13:$4A9C	18	このまきものはよまずになげること	
748	13:$4AAF	17	するとそのてきがでてこなくなる	
749	13:$4AC1	16	<cE0:60>マップをわすれてしまった！	
750	13:$4AD2	3	<cE3>が	
751	13:$4AD6	5	<cE3>になった	
752	13:$4ADC	20	そうびに きんのメッキが なされた！	
753	13:$4AF1	11	なかみを すいだした	
754	13:$4AFD	20	<cE0:62>アイテムをひろえなくなってしまった！	
755	13:$4B12	12	アイテムがひろえない！	
756	13:$4B1F	14	しかし なにもぬすめなかった	
757	13:$4B2E	14	やが そうびされていない	
758	13:$4B3D	13	<cE0:74><var>は すばやくなった	
759	13:$4B4B	9	なんと！<cE3>だった	
760	13:$4B59	12	  うりね：<cE5>ギタン<end>	
761	13:$4B66	4	<var>は<var>に	
762	13:$4B6B	18	<cE4>ポイントのダメージをあたえた	
763	13:$4B7E	3	<var>から	
764	13:$4B82	17	<cE4>ポイントのダメージをうけた	
765	13:$4B94	7	<var>をやっつけた	
766	13:$4B9C	10	<cE5>のけいけんちをえた	
767	13:$4BA7	12	<var>のこうげきをかわした	
768	13:$4BB4	13	<var>のこうげきははずれた	
769	13:$4BC2	15	<var>はレベル<cE4>にあがった<cE0:23>	
770	13:$4BD2	15	<var>はレベル<cE4>にさがった<cE0:89>	
771	13:$4BE2	15	<var>はレベルがあがって<cE0:24>	
772	13:$4BF2	15	<var>はレベルがさがって<cE0:89>	
773	13:$4C02	5	<var>になった	
774	13:$4C08	12	<var>はようすをみている<cE7:05>	
775	13:$4C15	8	<var>はねむっている	
776	13:$4C1E	14	かいしんのいちげき！<cE7:14><mode0>	
777	13:$4C2D	13	<var>は ちからつきた…<cE7:1E><mode1>	
778	13:$4C3B	6	<var>は <var>から	
779	13:$4C42	7	<cE3>をぬすんだ	
780	13:$4C4A	13	へんなじゅもんをとなえた	
781	13:$4C58	14	<var>は くさったえき をはいた	
782	13:$4C67	14	けんが サビてしまった！	
783	13:$4C76	14	たてが サビてしまった！	
784	13:$4C85	11	しかし <cE3>はサビない	
785	13:$4C91	19	しかし そうびした けんはサビない	
786	13:$4CA5	19	しかし そうびした たてはサビない	
787	13:$4CB9	19	しかしメッキされたたてはサビなかった	
788	13:$4CCD	19	しかしメッキされたけんはサビなかった	
789	13:$4CE1	17	けんのメッキがはげてしまった！	
790	13:$4CF3	17	たてのメッキがはげてしまった！	
791	13:$4D05	18	けんのごうせいがとけてしまった！	
792	13:$4D18	18	たてのごうせいがとけてしまった！	
793	13:$4D2B	19	くねくねハニーはクネクネーをおどった	
794	13:$4D3F	13	<var>はレベル<cE4>にさがった	
795	13:$4D4D	11	<var>はちからをすいとった	
796	13:$4D59	18	ちからのさいだいちが<cE4>さがった	
797	13:$4D6C	16	<cE0:E6>つうこんのいちげき！<cE7:14><mode0>	
798	13:$4D7D	10	いやしウサギは<var>に	
799	13:$4D88	15	かいふくのじゅもんをとなえた	
800	13:$4D98	7	のりうつった！	
801	13:$4DA0	9	<var>は ワープした	
802	13:$4DAA	11	<var>は なかまをよんだ	
803	13:$4DB6	19	おおきいおにぎりにかわってしまった！	
804	13:$4DCA	14	のろいのじゅもんをとなえた	
805	13:$4DD9	19	そうびちゅうのたてが のろわれた！	
806	13:$4DED	14	そうびちゅうのアイテムが	
807	13:$4DFC	11	もっていたアイテムが	
808	13:$4E08	11	すべて のろわれた！	
809	13:$4E14	15	<var>は ようじゅつをかけた<cE7:05>	
810	13:$4E24	10	なんと！ アイテムは	
811	13:$4E2F	11	なんと！ かいだんは	
812	13:$4E3B	10	モンスターだった！	
813	13:$4E46	18	しかし モンスターは しょうめつした	
814	13:$4E59	12	<var>はハラヘリーをとなえた	
815	13:$4E66	18	まんぷくどが <cE6>％になった<cE0:71>	
816	13:$4E79	10	<var>は ぶんれつした	
817	13:$4E84	17	おとしあなに あしを ふみいれた！	
818	13:$4E96	13	しかし おちずにすんだ	
819	13:$4EA4	17	トラバサミに ひっかかった！<cE0:75>	
820	13:$4EB6	15	トラバサミに ひっかかった！	
821	13:$4EC6	18	トラバサミが はずれない！<cE0:75>	
822	13:$4ED9	10	やっと はずれた！	
823	13:$4EE4	13	しかし スルリとすりぬけた	
824	13:$4EF2	11	バネのうえにのった！	
825	13:$4EFE	17	しかし しかけは うごかなかった	
826	13:$4F10	17	どくやのワナをふんでしまった！	
827	13:$4F22	13	どくやがとんできた！	
828	13:$4F30	15	スイッチをふむ おとがした！	
829	13:$4F40	14	たてが サビてしまった！	
830	13:$4F4F	18	サビるものをそうびしていなかった	
831	13:$4F62	15	スイッチをふむ おとがした！	
832	13:$4F72	22	じめんから しろいガスがふきだした！	
833	13:$4F89	12	<var>は ねむってしまった！	
834	13:$4F96	14	…ねむくて なにもできない	
835	13:$4FA5	11	やっと めがさめた！	
836	13:$4FB1	17	じめんにデッパリがあった！	
837	13:$4FC3	17	つまずいて ころんでしまった！	
838	13:$4FD5	16	しかし たいしたことは なかった	
839	13:$4FE6	18	けいほうスイッチをふんでしまった！	
840	13:$4FF9	18	ねてるモンスターをおこしてしまった！	
841	13:$500C	21	しょうかんスイッチをふんでしまった！<cE7:0F>	
842	13:$5022	15	<var>は モンスターにかこまれた！	
843	13:$5032	15	かいてんばんのうえにのった！	
844	13:$5042	11	<var>は めがまわった！	
845	13:$504E	17	へんなそうちを ふんでしまった！	
846	13:$5060	18	<cE0:88>グゥッ…おなかがなっている！	
847	13:$5073	18	しかし とくに かわりはないようだ	
848	13:$5086	15	ぬるまゆがふきだしてきた！	
849	13:$5096	16	おにぎりがぬるまゆをあびて	
850	13:$50A7	15	デロデロになってしまった！	
851	13:$50B7	21	すべてのそうびがはずれてしまった！	
852	13:$50CD	18	しかし なにもそうびしていなかった	
