# Shiren GB — translation file. Keyed on `loc`, one string per line.
#
# READ `TRANSLATING.md` FIRST. It covers the three storage classes, the measured
# per-renderer Dot Gothic limits, the character set, control tokens, and every error
# build/worklist.tsv can print. `VWF_BUDGETS.md` is the canonical fit register.
#
# KEY IS `loc` (bank:$addr), never the sequential id: ids are reassigned by sorted
# offset, so any change to extraction silently shifts an id-keyed file by one entry.
#
# Length: these are almost all table-referenced, so storage is not the limit — the tool
# relocates them. Display limits are measured per path: pixels, source staging, temporary
# tiles, and runtime substitutions. Do not infer one universal character/cell budget.
#
# loc	english

# ---- title / file menu ----
11:$5330	Adventure
13:$5CED	Completely restores<br>Fullness and also<br>raises Max Fullness.<br> <end>
13:$5D22	Restores a little<br>Fullness. It may<br>grant a special<br>ability.<end>

# ---- herbs and seeds ----
13:$5D56	Using this restores<br>a little HP.<br><end><cF0:04>
13:$5D6F	Using this restores<br>lots of HP and cures<br>status ailments.<br><cF0:04><end>
13:$5D9E	Raises your level<br>by 1.<br><end><cF0:04>
13:$5DB4	Reveals hidden traps<br>on this floor.<br> <end>
13:$5DCB	Using this makes you<br>breathe fire in a<br>straight line.<br><cF0:04><end>
13:$5DEF	Grants invincibility,<br>preventing damage and<br>status ailments for a<br>short while.<end>
13:$5E05	Raises your level<br>by 5.<br><end><cF0:04>
13:$5E1D	Holding this revives<br>you once when you<br>collapse. It will not<br>work inside a Pot.<end>
13:$5E55	Lowers your level<br>by 1.<br><end><cF0:04>
13:$5E6F	Lowers your level<br>by 3.<br><end><cF0:04>
13:$5E8A	Reduces your level<br>and HP to 1.<br><cF0:04><br> <end>
13:$5EA9	Makes you forget all<br>identified items.<end>
13:$5EC3	Using this increases<br>Max HP.<br> <end>
13:$5EDB	Using this increases<br>Max Fullness.<end>
13:$5EF6	Using this decreases<br>Max Fullness.<end>
13:$5F11	Lets you move faster<br>for a short while.<br><cF0:04><br> <end>
13:$5F38	Restores 1 Strength.<br>At full Strength, it<br>raises Max Strength<br>by 1.<end>
13:$5F74	Restores Strength to<br>its maximum.<br><cF0:04><br> <end>
13:$5F97	Lowers HP, Strength,<br>and movement speed.<br><cF0:04><br> <end>
13:$5FC4	Makes you confused.<br><end><cF0:04>
13:$5FD8	Puts you to sleep<br>for a short while.<br><end><cF0:04>
13:$5FF0	A plain weed with no<br><end>special effect. It<br>restores a little<br>Fullness.
13:$6015	Warps you to another<br>spot on this floor.<br><end><cF0:04>

# ---- scrolls ----
13:$6031	Reading this removes<br>curses from equipped<br>items.<end>
13:$604D	Identifies one item.<br> <end>
13:$6067	Reveals the map and<br>shows every monster<br>and all items.<br> <end>
13:$6094	Makes a Pot larger.<br> <end>
13:$60A9	Damages all monsters<br>in the room.<br><cF0:0B><end>
13:$60D4	Stops mouth-based<br>actions for the rest<br>of this floor.<end>
13:$60F3	Returns you to<br>Moonlight Village<br>with your equipment.<br>Only one may return.<brk>Koppa hides inside<br><end>Shiren's pack, so he<br>comes along too.
13:$6157	Helps you out of a<br>dangerous situation.<end>
13:$616F	Monsters move at<br>double speed.<end>
13:$618B	Puts all monsters in<br>the room to sleep<br>for a short while.<brk>They awaken at<br>double speed.<br><cF0:0B><end>
13:$61CF	You deal more damage<br>on the current floor.<br> <end>
13:$61FD	Makes every monster<br>in the room vanish.<end>
13:$621A	Creates a shock wave<br>that destroys nearby<br>monsters.<br> <brk>It cannot defeat you<br>but hurts you badly.<end>
13:$6277	Turns the floor into<br>one large room.<br> <end>
13:$628E	Creates a Monster<br>House in the room.<br> <end>
13:$62A7	Confuses monsters<br>in the room, so<br>they move randomly.<br><end><cF0:0B>
13:$62E0	Throw at a monster<br>to banish its kind<br>from the dungeon.<end>
13:$6307	Makes you forget the<br>current floor map.<br> <end>
13:$631E	Strengthens your<br>equipped weapon and<br>removes its curse.<end>
13:$6342	Strengthens your<br>equipped shield and<br>removes its curse.<end>
13:$6366	Plates your equipped<br>weapon and shield to<br>stop rust. It also<br>removes both curses.<end>
13:$639A	Removes everything<br>from a Pot.<br> <end>
13:$63B3	Prevents you from<br>picking up items on<br>this floor.<end>

# ---- staffs. `<cF0:0C>` is `Wave at a monster:` and `<cF0:05>` is `Works when thrown.` ----
13:$63D4	<cF0:0C><br>it can only make<br>normal attacks.<br><cF0:05><end>
13:$63F1	<cF0:0C><br>it flies far away.<br><cF0:05><br> <end>
13:$640F	<cF0:0C><br>its level rises.<br><cF0:05><br> <end>
13:$642F	<cF0:0C><br>its level falls.<br><cF0:05><br> <end>
13:$644D	<cF0:0C><br>it becomes a decoy.<br><cF0:05><br> <end>
13:$646D	<cF0:0C><br>you and it swap<br>places.<br><end><cF0:05>
13:$648F	<cF0:0C><br>it causes a random<br>effect.<br><cF0:05><end>
13:$64A8	<cF0:0C><br>it is held in place<br>until you attack it.<br> <brk><cF0:05><br> <end>
13:$64E4	<cF0:0C><br>it warps to the exit<br>and is held there.<br> <brk><end><cF0:05>
13:$6511	<cF0:0C><br>it also takes any<br>damage you receive.<br><end><cF0:05>

# ---- pots ----
13:$653D	Items can be freely<br>stored and removed.<end>
13:$6555	Climb inside to hide<br>from monsters.<br>Throw it to trap a<br>monster inside.<end>
13:$6590	Copies items inside.<br><cF0:09><br><cF0:0A><br> <end>
13:$65AD	Leave weapons or<br>shields inside to<br>strengthen them.<br>Staves gain uses.<brk><cF0:09><br><cF0:0A><br> <end>
13:$65EB	Identifies items put<br>inside.<br><cF0:09><br><end><cF0:0A>
13:$660B	Push it to restore<br>HP, Strength, and<br>status ailments.<br> <end>
13:$6623	Sends inserted items<br>to storage.<end>
13:$6640	Leave an item inside<br>to weaken it.<br><cF0:09><br><end><cF0:0A>
13:$666B	Items put inside<br>vanish forever.<br> <end>
13:$6684	This is a monster!!<br> <end>
13:$6694	Alters its contents.<br><cF0:09><br><cF0:0A><br> <end>
13:$66B3	Combines weapons,<br>shields, and staves.<brk>Insert weapons one<br>after another. Their<br>powers and bonuses<br>merge into the base.<brk>Insertion order<br>matters. Shields act<br>the same way.<brk>Insert like staves<br>to combine uses.<brk><cF0:09><br><end><cF0:0A>
13:$676B	A Thiefwalrus is<br>hiding inside.<br> <end>

# ---- the two that are not items ----
13:$6781	Money that can be<br>thrown at a monster.<br>It makes the world<br>go round...
13:$67B0	A Kasa Tanuki.<br>It thinks its trick<br>is still working.<end>

# ---- the 13 shared lines `<cF0:xx>` pastes in (bank 11, table 11:$55AC) ----
# These are not menu labels: each is inline item-help text under the 21-source-glyph and
# 144px Dot contract.
11:$55C6	Raises attack.
11:$55DE	Deals big damage.
11:$55F0	Raises defense.
11:$5609	When equipped:
11:$5611	Can be thrown too.
11:$5623	Works when thrown.
11:$5633	Attack monsters
11:$563F	Equip, hold Select
11:$5654	press A to fire.
11:$5665	Break it on a wall
11:$5677	to get them out.
11:$5680	Allies feel it too
11:$568F	Wave at a monster:

# ---- SESSION 9: the equipment SEALS (印), bank 11, table 11:$5463, 20 entries ----
#
# What a player sees on the item screen under a weapon or shield that has been melded.
# `4:$49F5` zeroes $78 bytes at $C616, `4:$5736` stages the item NAME into row 1, then
# `11:$7E40` walks the item's seal ids at $C6BE and copies up to FOUR of these in behind
# it (`ld c,$04`), terminator included. `4:$4A0D` draws box $13 -- whose descriptor
# (31:$4395) is byte for byte box 7's, the item-description box.
#
# PRODUCTION BUDGET: one 21-source-glyph/144px Dot line per seal. The four rows are shared
# out one per seal, so a `<br>` here would eat the next seal's row. The native Japanese
# control still has 18 fixed cells. `dialogue_preview.is_seal` selects the real check.
#
# WORDING IS TAKEN FROM THE ITEM DESCRIPTIONS ABOVE, which describe the same effects at
# greater length and are already reviewed -- `Deals heavy damage to Dragons` (13:$56C1),
# `To one-eyed foes` (13:$57E2), `To foes that drain your stats` (13:$57F6), `Your attacks
# never miss` (13:$5793), `Lands critical hits often` (13:$57A9), `Never rusts` (13:$58CD),
# `Cuts damage from explosions` (13:$5A2C). A seal and its description must not read like
# two different effects.
#
# `Dragons` / `Ghosts` / `One-Eyes` are capitalised as monster FAMILIES, the way 13:$56C1
# and 13:$5736 already do; `dragon fire` stays lowercase, the way 13:$58EB already does.
11:$548B	Strong vs Dragons
11:$549D	Strong vs Ghosts
11:$54AE	Strong vs One-Eyes
11:$54BC	Strong vs drainers
# The game does not explain these two -- it just names the seal in quote marks. Neither is
# an item in the glossary, so there is nothing to align to and nothing to expand into. The
# font has no `"` (the set is  !'()+,-./:?[]~ ), so the corner brackets become square ones.
11:$54D0	[Meat]
11:$54D5	Can dig walls
11:$54DD	Attacks never miss
11:$54ED	Lands criticals
11:$54FD	Hits all 3 ahead
11:$5513	Get hungry slower
11:$551E	Get hungry faster
11:$5529	Never rusts
11:$552F	[Poison]
11:$5535	Cuts dragon fire
11:$5549	Counters damage
11:$555A	Reflects magic
11:$5569	Foes often miss
11:$557A	Weakens when hit
11:$5591	Cuts blast damage
11:$55A5	Can't be stolen

# ---- the one item name with a LEADING SPACE, and why ----
# Joey, 2026-08-04: picking up money said `Got 293Gitan`.
#
# Gitan is item category 11, and `4:$5C6A` puts the COUNT before the name for that category
# (and for arrows) instead of after it, with no separator -- correct for `293ギタン`, wrong
# for English. The count is emitted by `4:$5CAB`, which has no spare byte after its digits
# and no free run in bank 4 to relocate into, so the separator lives in the name instead.
#
# This is an override of the frozen glossary's `Gitan` (11:$452C) and the only one of its
# kind. It fixes the message AND the item-list row, because both reach the same builder.
# The arrow half of the same bug IS patched in code -- see tools/itemfix.py, which had the
# two bytes to work with because it was replacing a counter word rather than inserting one.
11:$452C	 Gitan

# ---- wrapped by tools/wrap_en.py ----
14:$4BF6	Yoshizota read the Dragon's<br> Cry Scroll.
14:$4C0F	Yoshizota: Whoa! It opened!<br> ...Ugh, this place looks<br> pretty scary after all.<end><brk> You go on ahead. I'll catch<br> up with you later.
14:$4C67	Koppa: Orochi...<end><brk> Where is he?
14:$4C7B	Yoshizota: Right here.
14:$4D07	Koppa: ...
14:$4D19	Yoshizota: A shifting land<br> where anything can happen...<end><brk> I came here to make the<br> power of this land my own.<end><brk> What do you think will<br> happen if I make Moonlight<br> Village drink this drug?<end><brk> They'll become monsters<br> forever.<end><brk> And they'll obey no one but<br> me.<end><brk> But it doesn't work on<br> adults. That's why I need<br> child sacrifices.<end><brk> I was so close... So close to<br> completing this cave...<end><brk> Why save them? Why save a<br> village of monsters?!<end><brk> Would you kill me, a human,<br> just to save monsters?!<end><brk> ...I have another drug here.<end><brk> I made it from the children's<br> blood, drawn a little at a<br> time.<end><brk> What happens when a human<br> drinks it? Let me show you!
14:$4F36	Yoshizota drank the drug!<mode1><$3C><cE7><mode0>
14:$4F4C	Orochi: Even if I fall here,<end><brk> Orochi shall rise again and<br> again... Heh heh heh.
14:$4F8F	Koppa: Heh! If you made it<br> this far, you're practically<br> a monster yourself!
14:$4FB9	Koppa: You're Fumi, right? We<br> came to rescue you. Let's go<br> home.
14:$5037	Keyaki: Oh, you're awake!
14:$5146	Innkeeper: You mean Keyaki?<end><brk> Oh, please! She's not my<br> daughter. I'm still single!<end><brk> She just wanders in now and<br> then and helps around the<br> inn.<end><brk> She's a little odd, but she's<br> a good kid...
14:$51D3	Keyaki: <name>! Wait up!
14:$51DE	Keyaki: Haa... haa... I'm so<br> glad I made it in time...<end><brk> You're going to rescue her,<br> right? Here, take this!
14:$5213	<name> received <cE3>4.
14:$5220	Keyaki: I went up into the<br> hills to get it. It took<br> quite a while...<end><brk> Good luck!
14:$525F	Keyaki: ...Are you okay?<end><brk> Please don't overdo it.
14:$5281	Innkeeper: I believe in you.
14:$5294	Keyaki: Hey, <name>!

# ---- wrapped by tools/wrap_en.py ----
14:$52B8	Keyaki: Good luck!
14:$52C7	Innkeeper: Keyaki?<br> She went to the shrine...<end><brk> She's a free spirit.<br> Sometimes she just wanders<br> off somewhere.<end><brk> Like a cat.<end><brk> ...Well, it's not like I'm<br> busy. We don't have any<br> customers.
14:$535C	Keyaki: <name>?<end><brk> Wait just a moment. I will be<br> done soon.
14:$537F	Keyaki: There.<end><brk> All done.
14:$538C	Keyaki: Isn't this shrine a<br> little unusual?<end><brk> Moonlight Village doesn't<br> follow the Reeva faith.<br> That's why...
14:$53D3	Keyaki: Hm? What was I<br> praying for?<end><brk> ...Hehe, it's a secret.
14:$53FB	Keyaki: Anyway, um... I have a<br> favor to ask. Is that okay?
14:$541F	<cEC:08>Can I ask a favor?<br><$81>Sure<br> No
14:$5442	Keyaki: You're mean...
14:$5451	Keyaki: Actually, I'd like you<br> to look after this cat for a<br> while.<end><brk> Her name is Tanmomo. Take<br> good care of her!
14:$5488	<cE0:28>Tanmomo the cat joined<br> you.<mode1><$78>
14:$549F	Keyaki: Hold B and press the<br> D-Pad to swap places with<br> Tanmomo.
14:$54D4	Keyaki: Hm? What is it?
14:$54E1	<cEC:09><$81>Is Tanmomo yours?<br> Why the name Tanmomo?<br> How do I swap with her?
14:$551D	Keyaki: No. I found her behind<br> the shrine earlier.<end><brk> She was freezing, poor<br> thing...<end><brk> Take good care of her!
14:$5562	Keyaki: See how short her<br> thighs are?<end><brk> That's why I call her<br> Tanmomo: Short-Thigh.<end><brk> Take good care of her!
14:$5596	Keyaki: Hold B and press the<br> D-Pad toward Tanmomo to<br> switch places.<end><brk> Take good care of her!
14:$55D8	Kinji: Oh, there you are! Come<br> with me for a minute,<br> <name>.<end><brk> There's something I want to<br> show you.
14:$5611	Masa: Ah, <name>!<end><brk> Look at this! Check it out!
14:$5636	Kinji: We built a Warehouse!<br> You can store items in here.
14:$566D	Kinji: We built it for you,<br> <name>.<end><brk> Well... this is about all we<br> can do for you.
14:$56B2	Masa: This should make your<br> adventures a lot easier.<end><brk> Good luck with Fumi!
14:$572A	Kinji: We went to all the<br> trouble of building it, so<br> make sure you use it.
14:$574F	Masa: Leave items in the<br> Warehouse and you won't<end><brk> lose them if you collapse<br> during an adventure.<end><brk> But everything inside a Pot<br> will disappear, so be<br> careful.<end><brk> Also, you can only take 5<br> items with you.<end><brk> Remember, Pots lose their<br> contents.
14:$57E7	Old Seer: Building a Warehouse<br> in a place like that...<end><brk> Now I'm not getting any<br> sunlight! Those boys never<end><brk> think things through!<br> Honestly!
14:$5840	Keyaki: Lately, the<br> villagers are starting to<br> accept you, <name>.<end><brk> I'm so happy...
14:$5875	Innkeeper: No matter how<br> many times you get knocked<br> down, you never give up...<end><brk> You're every bit the man I<br> thought you were.<end><brk> Good luck out there!
14:$58CC	Tagura: This is my most<br> treasured toy, but...<end><brk> I'll give it to you.
14:$58F6	<name> received <cE3>1.
14:$5902	Tagura: In return, please<br> save Fumi. Promise me!
14:$5924	Keyaki: Are you okay?<end><brk> ...Thank goodness. I was so<br> worried you might be hurt,<br> <name>...
14:$595B	Gon: Urgh...<end><brk> This is my prized possession,<br> but I'll hand it over to you.
14:$598A	<name> received <cE3>7.
14:$5996	Gon: Whenever the Shrine<br> Priest is about to scold me,<br> I use this to get away.<end><brk> Urgh...<end><brk> It comes in pretty handy!
14:$59E2	Nagi: Waaah!! Wh-what? You're<br> not a monster? You scared<br> me.<end><brk> ...You came to rescue me?<end><brk> No! I'm not going back!<end><brk> I might if you promise to<br> save Fumi...
14:$5A59	<cEC:08>Promise to save Fumi?<br><$81>Yes<br> No
14:$5A7D	Nagi: Hmph! Go back by<br> yourself. I can handle this<br> on my own.<end><brk> M-monsters don't scare me...
14:$5AB1	Nagi: ............<end><brk> Waaaaah!! This place really<br> is scary!!
14:$5AE2	Nagi: Waaaaah! Damn it!
14:$5AF5	Nagi: Fine! I'll go back.<br> Don't you forget your<br> promise.<end><brk> ...Truth is, I'm really<br> scared, so, um...<end><brk> ...I'm about to wet myself.<br> Let's hurry back.
14:$5AFD	Please lets hurry back!<br>I gotta pee. Hurry!<end><brk>
14:$5B5B	Nagi: Oh, you came back!<end><brk> Let's hurry home. I'm still<br> holding it in.
14:$5B81	Please lets hurry back!<br>I gotta pee. Hurry!
14:$5B89	Nagi: G-grandpa...
14:$5B9B	Chief: Nagi... Y-you're safe!
14:$5BB2	Nagi: Grandpaaa!!
14:$5BC2	Chief: Nagiii! Whoaaa!
14:$5BD6	Chief: Wh...
14:$5BE1	Nagi: I'm gonna wet myself!!
14:$5C1B	Chief: <name>, I believe I<br> know what it is you want to<br> ask.<end><brk> Please come here tonight.
14:$5C5A	Innkeeper: Oh? Staying the<br> night? That's unusual.
14:$5C73	Chief: W-wait! Don't be<br> alarmed!<end><brk> It's me, the village chief.<end><brk> I may look like this, but I'm<br> still in control of myself.<end><brk> I won't hurt you.<end><brk> Come closer and hear me out.
14:$5CE0	Chief: When moonlight falls on<br> us, we transform.<end><brk> It is a trait our clan<br> carries.<end><brk> Across the sea, I believe<br> they call our kind vampires.<end><brk> Because of this trait, we<br> live here in hiding, far from<br> prying eyes.<end><brk> Orochi... the sacrifices...<br> Kuyo Pass...<end><brk> Please forgive me, but I<br> cannot speak of these<br> things.<end><brk> Even this conversation is<br> probably reaching Orochi's<br> ears...<end><brk> There is a scroll beneath the<br> offering box at the shrine.<end><brk> Read it, and Dragon's Maw<br> should open.<end><brk> <name>, I beg you! Please<br> save Fumi!<end><brk> If you save her, we can end<br> the custom of sacrifice.<end><brk> Please free Fumi from this<br> village's cursed fate!
14:$5E92	Chief: Hmm? Would you like to<br> hear my story once more?
14:$5EB3	<cEC:08>Hear the story?<br><$81>Yes<br> No
14:$5ECC	Gon: Urgh... While they're<br> children, a single fit can<br> make them transform.<end><brk> And when they become<br> monsters, they don't<br> remember a thing. Urrrgh.
14:$60E5	Innkeeper: I wonder where<br> Keyaki could have gone off<br> to...
14:$6107	Fumi's Mom: <name>...<br> Please, take care of Fumi...
14:$6127	Gon: So that's Koppa?<end><brk> Urgh... He looks as stinky as<br> I expected...
14:$615B	Rokuro: Whenever our<br> ancestors' cursed bodies<br> were seen, they fled and hid.<end><brk> In time, protecting this<br> secret became our ironclad<br> law.
14:$61BD	Tagura: Last night?<end><brk> I always sleep soundly,<br> though I have strange<br> dreams...
14:$61F4	Nagi: To reach Normal or Hard,<br> check the map on the sign<end><brk> beside the Warehouse<br> entrance.<end><brk> It'll show you the way. We're<br> counting on you to save<br> Fumi!
14:$6256	Kinji: Gran, building that<br> Warehouse made me hungry<br> again.<end><brk> Got anything to eat?
14:$6291	Old Seer: Nope. Nothing but a<br> Rotten Onigiri...
14:$62B6	Keyaki: Oh, you're awake!
14:$62C6	Innkeeper: You're in Moonlight<br> Village.<end><brk> Didn't you leave?
14:$62F8	Keyaki: What?<end><brk> You can't leave the village?!
14:$6317	Innkeeper: You made such a<br> grand exit, and now look at<br> you...
14:$6338	Chief: Oh, what's wrong?<end><brk> What? You can't leave<br> Moonlight Village?<end><brk> Hmm. How strange...
14:$6386	Priest: What! You can't leave?<br> Hmm.<end><brk> I offer guidance to those who<br> venture into dungeons.<end><brk> What would you like to know?<end><brk> ...is what I would say, but<br> even I don't understand this.
14:$6404	Fumi's Mom: Oh, <name>.<end><brk> Thank you again for<br> everything you did for us.
14:$643E	Gon: Urgh... Oh, it's you.<br> You're back.
14:$6461	Rokuro: Huh? You're back?<end><brk> I see! You've decided to<br> become one of us. Good, good.
14:$64A7	Masa: Huh? <name>?<end><brk> What are you doing here...?
14:$64D1	Kinji: <nop>, <name>! What are<br> you doing...<end><brk> Wait... Don't tell me you<br> came back for Keyaki...
14:$6510	Old Seer: Hm? What's wrong?<end><brk> Oh! Could it be... You came<br> to see me...? Tee hee.
14:$6548	Tagura: Hey, it's you! Hooray!
14:$6564	Fumi: Oh... what is it?<br> ...Forget something?
14:$6580	Nagi: Huh? You guys...<end><brk> I know! You had to pee so<br> bad you turned back!
14:$65B9	Keyaki: <name>! Wait!
14:$65C4	Keyaki: Here, take this!
14:$65D0	<name> received <cE3>5.
14:$65DD	Keyaki: I hope you find a way<br> out.<end><brk> ...But I was happy. Happy<br> that <name> came back to<br> the village...
14:$661D	Children: Ooh la la! Things<br> are heating up!
14:$6638	Koppa: Tch, they're just<br> teasing us. Come on,<br> <name>!
14:$6656	Keyaki: ...Are you okay?<end><brk> Don't push yourself too hard.
14:$6678	Innkeeper: Back again? You<br> must really like this<br> village...
14:$66AC	Chief: You still can't leave?<end><brk> Hmm. How strange...
14:$66DD	Masa: Huh? I said I'd build<br> you a house next time you<br> came?<end><brk> Did I really say that?<end><brk> W-well... maybe someday.
14:$671F	Old Seer: ...So, when are you<br> and I getting married? ...Tee<br> hee.
14:$6754	Fumi: ...Forgot something<br> again?
14:$6765	Nagi: Again?<end><brk> It's bad for you to hold it<br> in that long.
14:$678D	Kinji: ...Didn't <name> come<br> back for Keyaki?<end><brk> Then why is she acting so<br> cheerful...?
14:$67E0	Keyaki: <name>! Wait!
14:$67EB	Keyaki: Here, take this!<br> Apparently it's called an ID<br> Bracer.<end><brk> They say it's really<br> useful... Huh?<end><brk> You can't take it with you?!<end><brk> Oh... that's too bad.<end><brk> I know cheering you on isn't<br> much, but... good luck!
14:$6875	Kinji: Keyaki...
14:$688A	Innkeeper: Kinji stopped by<br> earlier looking for <name>.<end><brk> He wants you to meet him at<br> the shrine.
14:$68C6	Koppa: Hey, <name>! Over<br> there!<end><brk> Huh? Keyaki's there too.<br> Looks like they're talking.
14:$6920	Keyaki: .....
14:$692B	Kinji: So...
14:$693C	Kinji: Hey, what's wrong?
14:$6950	Keyaki: ...Huh?
14:$695B	Kinji: You're usually much<br> chattier than this... You're<br> acting like <name> today.
14:$70A0	Nagi: I-I can't hold it<br> anymore...
14:$70B7	Nagi: Ugh... I'm gonna<br> collapse before I wet myself.<br> Help...
14:$70BE	I'm gonna collapse before I<br> wet myself. Help...
14:$70D8	Fumi: .........
14:$70E6	Fumi: I feel like I'm going to<br> collapse...
14:$72B4	Pochi: Woof! (Let's do this!)
14:$72CB	Pochi: Woof, wuff! (Leave <var> to<br> me!)
14:$72EA	Pochi: Whine... (I can't go<br> on...)
14:$7518	Rooster: Cluck cluck cluck!<br> (Witness my invincible<br> power!)
14:$753A	Rooster: Cock-a-doodle-doo!<br> Cock-a-doodle-doo!<end><brk> (<var> is mere small fry! Bring<br> me Orochi!)
14:$756B	Rooster: Guh, cluck cluck...<end><brk> (Guh... Even I have finally<br> run out of strength...)
14:$75EC	Tanmomo: Meow!<end><brk> (I'm a no-good cat.<br> Tanmomo...? What a weird<br> name!)
14:$7620	Tanmomo: Mew, me-mew! (<var> is a<br> pushover!)
14:$767A	Tanmomo: Me-me-mew... (I think<br> I'm dying...)
14:$77AB	Baby Mamel: I'm scared...
14:$77BD	Baby Mamel: I... can't go<br> on...
14:$78D0	<cEC:04>Fumi is asleep.<br> <br>
14:$78E1	<cEC:04>Nagi is asleep.<br> <br>
14:$78F3	<cEC:04>Pochi is asleep.<br> <br>
14:$7905	<cEC:04>The Rooster is asleep.<br> <br>
14:$7918	<cEC:04>Tanmomo is asleep.<br> <br>
14:$792B	<cEC:04>Baby Mamel is asleep.<br> <br>
14:$7941	Koppa: Let's check out<br> Dragon's Maw before we<br> leave.
14:$796C	Koppa: <name>, let's go<br> back to the village!
14:$797E	Koppa: Hey, <name>, let's<br> ask the Village Chief about<br> the village's secret.
14:$79A9	Koppa: For now, let's rest at<br> the Totoya and wait until<br> night.
14:$79D5	Koppa: It's way too quiet...<br> Is no one here?
14:$79F8	Koppa: <name>! The shrine!<br> Let's search the offering<br> box!
14:$7A1E	Koppa: Come to think of it, I<br> can understand animals.<end><brk> Let's talk to the ones in the<br> village.
14:$7A5F	Koppa: Well, we made it here,<br> but...
14:$7A75	Koppa: Let's hurry and get<br> Fumi home.
14:$7A94	Koppa: All that's left is<br> rescuing Fumi. Let's do this!
14:$7ABC	Koppa: What the heck is going<br> on...?!
14:$7AD7	Koppa: Looks like getting out<br> of here won't be easy...
14:$7AFB	Koppa: That Kinji... He did it<br> on purpose to get Keyaki to<br> admit how she really feels...
14:$7B2B	Koppa: Keyaki said she'd wait<br> at the shrine...<end><brk> What do you want to do?
14:$7B5C	Koppa: That stray cat we<br> saw... Guess it ran off<br> somewhere.
14:$7B7C	Koppa: ...Hey, when are we<br> ever gonna get out of here?
14:$7BA1	Koppa: This place looks as<br> scary as ever...
14:$7BC2	Koppa: Brrr... That was scary.<br>Let's hurry home!
14:$7BF2	Koppa: ...Come on, <name>.<br> Let's go.
14:$7C03	Koppa: .....
14:$7C78	Normal + Pochi
14:$7C87	Normal + Tanmomo
14:$7C97	Normal + Rooster
14:$7CA7	Hard + Pochi
14:$7CB9	Hard + Tanmomo
14:$7CCC	Hard + Rooster
14:$7CDF	Escaped Moonlight
14:$7CF1	1000+ adventures
14:$7D03	Clear 90000+ Gitan
14:$7D17	Clear with 0 Gitan
14:$7D22	Max Fullness 200
14:$7D38	Max Fullness 10
14:$7D4F	Clear at Str 1
14:$7D5B	Cleared at max HP
14:$7D68	Cleared at Level 1
14:$7D73	Fully fused weapon
14:$7D87	Fully fused shield
14:$7D9A	Got Kabura Sutegi
14:$7DAC	Got Rasen Fuuma
14:$7DBC	Strength 30+
14:$7DCD	Reached max level
14:$7DDD	Beat a Shopkeeper
14:$7DE7	Rotten Onigiri
14:$7DFA	Fell: Pitfall Trap
14:$7E06	Fell: Poison Arrow
14:$7E11	Fell: Boulder
14:$7E1C	Fell while asleep
14:$7E2D	Fell: Mamel
14:$7E37	Fell: Baby Mamel
14:$7E45	Clear 999999 Gitan
14:$7E56	Fell: Tanmomo
14:$7E61	Fell: Pochi
14:$7E6B	Fell: Rooster
14:$7E76	Fell: Fake Shiren
14:$7E82	Far-shot Fusion Pot
14:$7E98	Cleared Normal
14:$7EA0	Normal: no items out
14:$7EB5	Cleared Hard
14:$7EC0	Hard: no items out
14:$7ED8	Saved Baby Mamel

# ---- wrapped by tools/wrap_en.py ----
11:$56DB	Fumi's Mom: Ahh...
11:$56E8	Nagi: Fumi, are you hurt? It<br> must've been awful...<end><brk> I'm just glad you're safe.
11:$571F	Chief: Y-you... You finally<br> defeated Orochi!
11:$5741	Kinji: We did it!
11:$574D	Masa: Now we won't have to<br> sacrifice any more children!
11:$5770	Rokuro: Nothing could make me<br> happier! Tonight, we feast!<end><brk> Oh, don't worry. It should be<br> cloudy tonight.<end><brk> So we probably won't<br> transform.<end><brk> Come on, everyone! Gather<br> around <name> and let's<br> celebrate!
11:$57F6	Everyone: Yeah!!
11:$5803	Innkeeper: Drinks are on me<br> tonight, so have as much as<br> you like!<end><brk> ...Hold on. You're carrying a<br> ton of stuff.<end><brk> You can't relax like that.<end><brk> You should put anything<br> important in the Warehouse<br> now.<end><brk> Wouldn't want to get drunk<br> and lose it...
11:$58B7	Innkeeper: You should put<br> anything important in the<br> Warehouse now.
11:$58E5	Rokuro: Ha ha... This is<br> great!
11:$58F8	Priest: Defeating Orochi is no<br> small feat. Impressive.<end><brk> Though frankly, it's all<br> thanks to my expert advice.
11:$5940	Masa: Put your things in the<br> Warehouse.<end><brk> You don't want to lose them.<end><brk> That Warehouse belongs to<br> you. Use it whenever you<br> like.
11:$59A3	Old Seer: How many years has<br> it been since we had a<br> celebration like this?
11:$59CD	Nagi: Thanks, big bro.<end><brk> When I saw Fumi again, I was<br> just... so happy.<end><brk> She seems a lot calmer now,<br> too.
11:$5A22	Fumi: ...Mister... I... My<br> heart's still pounding...
11:$5A50	Tagura: Now the three of us<br> can play together again!<br> Hooray!
11:$5A74	Fumi's Mom: I'm making a bed<br> for <name>.<end><brk> If you're tired, please rest<br> here.<end><brk> Once I'm done, I need to help<br> the Innkeeper!
11:$5AD1	Gon: Wa-ha-ha-haaa!
11:$5AE6	Kinji: I found this piece of<br> paper just now...<end><brk> It says clearing without<br> bringing any items earns<br> another password...<end><brk> And doing all kinds of other<br> things earns even more...<end><brk> ...I have no idea what that<br> means. Do you, <name>?
